class_name,current_count,needed_to_target
000ON_BIN,1,19
100,1,19
1000,1,19
18,1,19
19,1,19
200,1,19
2000,1,19
21,1,19
23,1,19
24,1,19
25,1,19
3,1,19
300,1,19
3000,1,19
33,1,19
400,1,19
4000,1,19
44,1,19
5,1,19
50,1,19
500,1,19
5000,1,19
55,1,19
60,1,19
600,1,19
6000,1,19
66,1,19
70,1,19
700,1,19
7000,1,19
77,1,19
80,1,19
800,1,19
8000,1,19
88,1,19
90,1,19
900,1,19
9000,1,19
99,1,19
ABI,1,19
ADAM,1,19
AGUSTOS,1,19
AHBAP,1,19
AILE,1,19
AKRABA,1,19
ALFABE,1,19
ALTI,1,19
AMCA,1,19
ANNE,1,19
ANNEANNE,1,19
ARKADAS,1,19
AYRAN,1,19
A_HARFI,1,19
BABA,1,19
BABAANNE,1,19
BACANAK,1,19
BANA,1,19
BAY,1,19
BAYAN,1,19
BEKAR,1,19
BEN,1,19
BENCIL,1,19
BENIM,1,19
BENZEMEK,1,19
BENZER,1,19
BERABER,1,19
BIKMAK,1,19
BILGI,1,19
BILGI_VERMEK,1,19
BILMEK,1,19
BILMEMEK,1,19
BINMEK,1,19
BIRA,1,19
BIRAKMAK,1,19
BIRAZ,1,19
BIRCOK,1,19
BIR_DAHA,1,19
BIR_SEY,1,19
BITMEK,1,19
BIZ,1,19
BIZIM,1,19
BOSANMAK,1,19
BOSVER,1,19
BOZMAK,1,19
BULMAK,1,19
BULUSMAK,1,19
BUTUN,1,19
BUYUK,1,19
B_HARFI,1,19
CAGIRMAK,1,19
CALISMAK,1,19
CALMAK,1,19
CAM,1,19
CAN,1,19
CANI_CEKMEK,1,19
CANLI,1,19
CANSIZ,1,19
CARE,1,19
CARPISMAK,1,19
CASUS,1,19
CAY,1,19
CEKMEK,1,19
CESARET,1,19
CESIT,1,19
CEVAP,1,19
CEVIRMEK,1,19
CEZA,1,19
CICEK,1,19
CIDDI,1,19
CIFT,1,19
CIGNEMEK,1,19
CIKMAK,1,19
CILE,1,19
CIMRI,1,19
CIRKIN,1,19
COCUK,1,19
COK,1,19
COK_YASA,1,19
COMERT,1,19
COP,1,19
